benchmark_run_dir,run_name,benchmark_cell_dir,experiment_cell,orchestration_mode,mcp_mode,model_id,git_sha,registry_status,include_in_paper,registry_reason,run_status,started_at,finished_at,total_runs,pass,fail,has_wandb,wandb_run_id,wandb_run_url,has_profiling,profiling_dir,profiling_artifact,has_profiling_summary,profiling_gpu_util_mean,profiling_gpu_util_max,profiling_gpu_mem_used_mib_mean,profiling_gpu_mem_used_mib_max,profiling_power_draw_w_mean,profiling_power_draw_w_max,profiling_nvidia_smi_samples,notes
benchmarks/cell_B_mcp_baseline/raw/final5x6_a100_20260503T090200Z_B_final5x6_aat_mcp_baseline,final5x6_a100_20260503T090200Z_B_final5x6_aat_mcp_baseline,cell_B_mcp_baseline,B,agent_as_tool,baseline,openai/Llama-3.1-8B-Instruct,e5e1331b99c22824949aa8e88a6bbe56b1ff8520,superseded,false,legacy final-six A100 matrix predates the post-PR175 31-scenario evidence set,success,2026-05-03T09:10:36.017681+00:00,2026-05-03T09:17:43.361619+00:00,30,30,0,true,mc7bhb6o,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/mc7bhb6o,false,,,false,,,,,,,,wandb only
benchmarks/cell_B70B/raw/final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_B70B_post175_70b_aat_mcp_baseline_watsonx,final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_B70B_post175_70b_aat_mcp_baseline_watsonx,cell_B70B,B70B,agent_as_tool,baseline,watsonx/meta-llama/llama-3-3-70b-instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T07:34:57.310081+00:00,2026-05-05T07:56:42.931123+00:00,45,43,2,false,,,false,,,false,,,,,,,,
benchmarks/cell_B70B/raw/final6x3_70b_watsonx_post180_envfix_cpu_ixqt_20260504T2115Z_B70B_final6x3_70b_aat_mcp_baseline_watsonx,final6x3_70b_watsonx_post180_envfix_cpu_ixqt_20260504T2115Z_B70B_final6x3_70b_aat_mcp_baseline_watsonx,cell_B70B,B70B,agent_as_tool,baseline,watsonx/meta-llama/llama-3-3-70b-instruct,97169f0d51ffea200c78e35d6ec47366124d88ae,superseded,false,post-PR180 scored cohort retained for provenance; superseded by post-PR175 clean-floor runs after PR #175 merged over PR #180,partial,2026-05-04T21:08:09.192340+00:00,2026-05-04T21:16:55.689502+00:00,18,15,3,false,,,false,,,false,,,,,,,,
benchmarks/cell_C_mcp_optimized/raw/9071639_aat_mcp_optimized,9071639_aat_mcp_optimized,cell_C_mcp_optimized,C,agent_as_tool,optimized,openai/Llama-3.1-8B-Instruct,,superseded,false,non-post-PR175 scored cohort retained for provenance; superseded by post-PR175 pulled evidence,success,2026-04-30T04:20:08.279932+00:00,2026-04-30T04:36:15.207330+00:00,6,6,0,true,ifz8xfhm,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/ifz8xfhm,true,profiling/traces/9071639_aat_mcp_optimized_torch,profiling-ifz8xfhm,false,,,,,,,,profiling artifact linked; summary stats absent from meta.json
benchmarks/cell_C_mcp_optimized/raw/core15x5_post175_a100_cu_20260505T0724Z_C_post175_15x5_aat_mcp_optimized,core15x5_post175_a100_cu_20260505T0724Z_C_post175_15x5_aat_mcp_optimized,cell_C_mcp_optimized,C,agent_as_tool,optimized,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",success,2026-05-05T07:50:30.033461+00:00,2026-05-05T08:07:13.238802+00:00,75,75,0,true,z7b8men2,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/z7b8men2,false,,,false,,,,,,,,wandb only
benchmarks/cell_C_mcp_optimized/raw/core_rem16x5_post175_a100_cu_20260505T0940Z_C_post175_15x5_aat_mcp_optimized,core_rem16x5_post175_a100_cu_20260505T0940Z_C_post175_15x5_aat_mcp_optimized,cell_C_mcp_optimized,C,agent_as_tool,optimized,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T10:13:01.539779+00:00,2026-05-05T10:29:09.562680+00:00,80,79,1,true,un9m667b,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/un9m667b,false,,,false,,,,,,,,wandb only
benchmarks/cell_C_mcp_optimized/raw/final5x6_a100_20260503T090200Z_C_final5x6_aat_mcp_optimized,final5x6_a100_20260503T090200Z_C_final5x6_aat_mcp_optimized,cell_C_mcp_optimized,C,agent_as_tool,optimized,openai/Llama-3.1-8B-Instruct,e5e1331b99c22824949aa8e88a6bbe56b1ff8520,superseded,false,legacy final-six A100 matrix predates the post-PR175 31-scenario evidence set,success,2026-05-03T09:18:32.036118+00:00,2026-05-03T09:25:39.146611+00:00,30,30,0,true,av01xt1u,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/av01xt1u,false,,,false,,,,,,,,wandb only
benchmarks/cell_C70B/raw/final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_C70B_post175_70b_aat_mcp_optimized_watsonx,final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_C70B_post175_70b_aat_mcp_optimized_watsonx,cell_C70B,C70B,agent_as_tool,optimized,watsonx/meta-llama/llama-3-3-70b-instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",success,2026-05-05T07:57:43.224479+00:00,2026-05-05T08:17:42.287370+00:00,45,45,0,false,,,false,,,false,,,,,,,,
benchmarks/cell_C70B/raw/final6x3_70b_watsonx_post180_envfix_cpu_ixqt_20260504T2115Z_C70B_final6x3_70b_aat_mcp_optimized_watsonx,final6x3_70b_watsonx_post180_envfix_cpu_ixqt_20260504T2115Z_C70B_final6x3_70b_aat_mcp_optimized_watsonx,cell_C70B,C70B,agent_as_tool,optimized,watsonx/meta-llama/llama-3-3-70b-instruct,97169f0d51ffea200c78e35d6ec47366124d88ae,superseded,false,post-PR180 scored cohort retained for provenance; superseded by post-PR175 clean-floor runs after PR #175 merged over PR #180,partial,2026-05-04T21:16:55.902530+00:00,2026-05-04T21:39:39.315215+00:00,18,13,5,false,,,false,,,false,,,,,,,,
benchmarks/cell_D/raw/9073472_aat_mcp_model_optimized,9073472_aat_mcp_model_optimized,cell_D,D,agent_as_tool,optimized,openai/Llama-3.1-8B-Instruct-int8,,superseded,false,non-post-PR175 scored cohort retained for provenance; superseded by post-PR175 pulled evidence,success,2026-04-30T06:59:59.227887+00:00,2026-04-30T07:07:16.316368+00:00,6,6,0,true,pmwzatie,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/pmwzatie,true,profiling/traces/9073472_aat_mcp_model_optimized_torch,profiling-pmwzatie,false,,,,,,,,profiling artifact linked; summary stats absent from meta.json
benchmarks/cell_D/raw/extra15x5_post175_a100_ixqt_west3_20260505T0815Z_D_post175_15x5_aat_mcp_model_optimized,extra15x5_post175_a100_ixqt_west3_20260505T0815Z_D_post175_15x5_aat_mcp_model_optimized,cell_D,D,agent_as_tool,optimized,openai/Llama-3.1-8B-Instruct-int8,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T08:14:43.769228+00:00,2026-05-05T08:30:05.298954+00:00,75,68,7,true,bvvkvgxv,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/bvvkvgxv,false,,,false,,,,,,,,wandb only
benchmarks/cell_D/raw/final5x6_extra_a100_20260503T115304Z_D_final5x6_aat_mcp_model_optimized,final5x6_extra_a100_20260503T115304Z_D_final5x6_aat_mcp_model_optimized,cell_D,D,agent_as_tool,optimized,openai/Llama-3.1-8B-Instruct-int8,e5e1331b99c22824949aa8e88a6bbe56b1ff8520,superseded,false,legacy final-six A100 matrix predates the post-PR175 31-scenario evidence set,partial,2026-05-03T11:53:06.466188+00:00,2026-05-03T12:00:37.075958+00:00,30,29,1,true,v8gn1crm,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/v8gn1crm,false,,,false,,,,,,,,wandb only
benchmarks/cell_PE_S_M/raw/profile_spotcheck_20260507T0604Z_pe_s_m,profile_spotcheck_20260507T0604Z_pe_s_m,cell_PE_S_M,PE_S_M,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,9839593bc5218256f82ee16bb20dbd259504e0a4,,,,success,2026-05-07T06:07:27.373041+00:00,2026-05-07T06:08:49.095827+00:00,1,1,0,true,bb7ude34,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/bb7ude34,true,profiling/traces/profile_spotcheck_20260507T0604Z_pe_s_m_nvidia_smi,profiling-profile_spotcheck_20260507T0604Z_pe_s_m-nvidia-smi,true,18.857142857142858,100.0,20066.85714285714,37406.0,85.64976190476189,313.92,84,profiling summary present in meta.json
benchmarks/cell_V_S_M/raw/profile_spotcheck_20260507T0604Z_v_s_m,profile_spotcheck_20260507T0604Z_v_s_m,cell_V_S_M,V_S_M,verified_pe,baseline,openai/Llama-3.1-8B-Instruct,9839593bc5218256f82ee16bb20dbd259504e0a4,,,,success,2026-05-07T06:08:54.471847+00:00,2026-05-07T06:10:23.139640+00:00,1,1,0,true,2kyquhk1,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/2kyquhk1,true,profiling/traces/profile_spotcheck_20260507T0604Z_v_s_m_nvidia_smi,profiling-profile_spotcheck_20260507T0604Z_v_s_m-nvidia-smi,true,23.855670103092784,100.0,22326.907216494845,37406.0,98.6160824742268,444.06,97,profiling summary present in meta.json
benchmarks/cell_Y_plan_execute/raw/8998340_exp2_cell_Y_pe_mcp_baseline,8998340_exp2_cell_Y_pe_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,,,,,partial,2026-04-28T00:11:55.047302+00:00,2026-04-28T00:22:11.071726+00:00,6,3,3,true,121l5dhn,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/121l5dhn,true,profiling/traces/8998340_exp2_cell_Y_pe_mcp_baseline_torch,profiling-121l5dhn,false,,,,,,,,profiling artifact linked; summary stats absent from meta.json
benchmarks/cell_Y_plan_execute/raw/context_y_pe_post180_a100_ixqt_west3_20260505T0012Z_Y32_exp2_cell_Y_pe_mcp_baseline,context_y_pe_post180_a100_ixqt_west3_20260505T0012Z_Y32_exp2_cell_Y_pe_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,97169f0d51ffea200c78e35d6ec47366124d88ae,superseded,false,post-PR180 scored cohort retained for provenance; superseded by post-PR175 clean-floor runs after PR #175 merged over PR #180,success,2026-05-05T00:20:38.144982+00:00,2026-05-05T00:28:35.853894+00:00,12,12,0,false,,,false,,,false,,,,,,,,
benchmarks/cell_Y_plan_execute/raw/core15x5_post175_a100_ixqt_east_20260505T0724Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,core15x5_post175_a100_ixqt_east_20260505T0724Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T08:01:18.791549+00:00,2026-05-05T08:44:04.332437+00:00,75,60,15,true,z8gaibjz,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/z8gaibjz,false,,,false,,,,,,,,wandb only
benchmarks/cell_Y_plan_execute/raw/core15x5_post175_a100_ixqt_east_20260505T0724Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,core15x5_post175_a100_ixqt_east_20260505T0724Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T07:19:59.614325+00:00,2026-05-05T08:01:12.150319+00:00,75,65,10,true,03sqevs5,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/03sqevs5,false,,,false,,,,,,,,wandb only
benchmarks/cell_Y_plan_execute/raw/core_rem16x5_post175_a100_ixqt_east_20260505T0918Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,core_rem16x5_post175_a100_ixqt_east_20260505T0918Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T09:58:20.162983+00:00,2026-05-05T10:37:32.643198+00:00,80,70,10,true,3yad2sto,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/3yad2sto,false,,,false,,,,,,,,wandb only
benchmarks/cell_Y_plan_execute/raw/core_rem16x5_post175_a100_ixqt_east_20260505T0918Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,core_rem16x5_post175_a100_ixqt_east_20260505T0918Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T09:17:48.340560+00:00,2026-05-05T09:57:55.763412+00:00,80,70,10,true,uwp6b6sa,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/uwp6b6sa,false,,,false,,,,,,,,wandb only
benchmarks/cell_Y_plan_execute/raw/final5x6_a100_20260503T090200Z_YS_final5x6_exp2_cell_Y_pe_self_ask_mcp_baseline,final5x6_a100_20260503T090200Z_YS_final5x6_exp2_cell_Y_pe_self_ask_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,e5e1331b99c22824949aa8e88a6bbe56b1ff8520,superseded,false,legacy final-six A100 matrix predates the post-PR175 31-scenario evidence set,partial,2026-05-03T10:39:46.894154+00:00,2026-05-03T10:59:55.915162+00:00,30,20,10,true,dcbyvoig,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/dcbyvoig,false,,,false,,,,,,,,wandb only
benchmarks/cell_Y_plan_execute/raw/final5x6_a100_20260503T090200Z_Y_final5x6_exp2_cell_Y_pe_mcp_baseline,final5x6_a100_20260503T090200Z_Y_final5x6_exp2_cell_Y_pe_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,e5e1331b99c22824949aa8e88a6bbe56b1ff8520,superseded,false,legacy final-six A100 matrix predates the post-PR175 31-scenario evidence set,partial,2026-05-03T10:20:58.950165+00:00,2026-05-03T10:39:04.827209+00:00,30,25,5,true,8xjypavm,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/8xjypavm,false,,,false,,,,,,,,wandb only
benchmarks/cell_Y_plan_execute/raw/final5x6_followon_transport_a100_20260503T142516Z_YS_TP_final5x6_exp2_cell_YS_pe_self_ask_mcp_optimized,final5x6_followon_transport_a100_20260503T142516Z_YS_TP_final5x6_exp2_cell_YS_pe_self_ask_mcp_optimized,cell_Y_plan_execute,Y,plan_execute,optimized,openai/Llama-3.1-8B-Instruct,e5e1331b99c22824949aa8e88a6bbe56b1ff8520,superseded,false,legacy final-six A100 matrix predates the post-PR175 31-scenario evidence set,partial,2026-05-03T15:27:18.285600+00:00,2026-05-03T15:41:22.969056+00:00,30,20,10,true,sp3ml5so,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/sp3ml5so,false,,,false,,,,,,,,wandb only
benchmarks/cell_Y_plan_execute/raw/final5x6_followon_transport_post180_a100_ixqt_west4_20260504T2205Z_YS_TP_final5x6_exp2_cell_YS_pe_self_ask_mcp_optimized,final5x6_followon_transport_post180_a100_ixqt_west4_20260504T2205Z_YS_TP_final5x6_exp2_cell_YS_pe_self_ask_mcp_optimized,cell_Y_plan_execute,Y,plan_execute,optimized,openai/Llama-3.1-8B-Instruct,97169f0d51ffea200c78e35d6ec47366124d88ae,superseded,false,post-PR180 scored cohort retained for provenance; superseded by post-PR175 clean-floor runs after PR #175 merged over PR #180,partial,2026-05-04T22:06:39.876592+00:00,2026-05-04T22:20:26.363496+00:00,30,20,10,false,,,false,,,false,,,,,,,,
benchmarks/cell_Y_plan_execute/raw/final5x6_pe_core_post180_a100_ixqt_west4_20260504T2015Z_YS_final5x6_exp2_cell_Y_pe_self_ask_mcp_baseline,final5x6_pe_core_post180_a100_ixqt_west4_20260504T2015Z_YS_final5x6_exp2_cell_Y_pe_self_ask_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,97169f0d51ffea200c78e35d6ec47366124d88ae,superseded,false,post-PR180 scored cohort retained for provenance; superseded by post-PR175 clean-floor runs after PR #175 merged over PR #180,partial,2026-05-04T20:31:33.301351+00:00,2026-05-04T20:50:56.840336+00:00,30,20,10,false,,,false,,,false,,,,,,,,
benchmarks/cell_Y_plan_execute/raw/final5x6_pe_core_post180_a100_ixqt_west4_20260504T2015Z_Y_final5x6_exp2_cell_Y_pe_mcp_baseline,final5x6_pe_core_post180_a100_ixqt_west4_20260504T2015Z_Y_final5x6_exp2_cell_Y_pe_mcp_baseline,cell_Y_plan_execute,Y,plan_execute,baseline,openai/Llama-3.1-8B-Instruct,97169f0d51ffea200c78e35d6ec47366124d88ae,superseded,false,post-PR180 scored cohort retained for provenance; superseded by post-PR175 clean-floor runs after PR #175 merged over PR #180,partial,2026-05-04T20:13:21.873702+00:00,2026-05-04T20:30:40.769602+00:00,30,25,5,false,,,false,,,false,,,,,,,,
benchmarks/cell_Y_plan_execute/raw/followon15x5_post175_a100_cu_20260505T0810Z_YS_TP_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_optimized,followon15x5_post175_a100_cu_20260505T0810Z_YS_TP_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_optimized,cell_Y_plan_execute,Y,plan_execute,optimized,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T08:10:35.139305+00:00,2026-05-05T08:38:54.416927+00:00,75,65,10,true,z3c3wy9l,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/z3c3wy9l,false,,,false,,,,,,,,wandb only
benchmarks/cell_Y_plan_execute/raw/issue18-smartgrid-smoke,issue18-smartgrid-smoke,cell_Y_plan_execute,Y,plan_execute,baseline,watsonx/meta-llama/llama-3-3-70b-instruct,,,,,success,,,,,,false,,,false,,,false,,,,,,,,
benchmarks/cell_Y_plan_execute/raw/issue3-aob-harness-smoke,issue3-aob-harness-smoke,cell_Y_plan_execute,Y,plan_execute,baseline,watsonx/meta-llama/llama-3-3-70b-instruct,,,,,success,,,,,,false,,,false,,,false,,,,,,,,
benchmarks/cell_Y_plan_execute/raw/local-20260413-003914_pe_mcp_baseline_watsonx_smoke,local-20260413-003914_pe_mcp_baseline_watsonx_smoke,cell_Y_plan_execute,Y,plan_execute,baseline,,,,,,success,2026-04-13T04:39:14.266300+00:00,2026-04-13T04:40:47.990529+00:00,1,1,0,true,9d4442ja,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/9d4442ja,false,,,false,,,,,,,,wandb only
