run_name,cell,orchestration_mode,mcp_mode,scenario_id,trial_index,failure_stage,taxonomy_label,symptom,artifact_path,evidence_note,candidate_mitigation,priority,audit_status,audit_note,audit_decision_source
8998340_exp2_cell_Y_pe_mcp_baseline,Y,plan_execute,baseline,SGT-009,2,planning,specification failure,under-constrained fault/risk adjudication,results/judge_logs/8998340_exp2_cell_Y_pe_mcp_baseline/SGT-009_judge_log.json,"score_6d=0.1667; failed_dims=task_completion+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=Improve fault mode inference and RUL estimation processes, and provide clearer justification for work order recommendations.",add an explicit fault/risk adjudication step that cites the deciding tool evidence,should-fix,relabel_suggested,Same upstream routing error as trial 1 (failure_mode_id='T-015'); under-constrained adjudication is a downstream effect not a root cause.,akshat:2026-05-05
8998340_exp2_cell_Y_pe_mcp_baseline,Y,plan_execute,baseline,SGT-009,3,planning,specification failure,under-constrained fault/risk adjudication,results/judge_logs/8998340_exp2_cell_Y_pe_mcp_baseline/SGT-009_judge_log.json,score_6d=0.3333; failed_dims=generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=Improve fault mode inference and provide clear justification for risk assessment and work order recommendation.,add an explicit fault/risk adjudication step that cites the deciding tool evidence,should-fix,relabel_suggested,Same upstream routing error as trial 1; under-constrained adjudication is a downstream effect.,akshat:2026-05-05
8998340_exp2_cell_Y_pe_mcp_baseline,Y,plan_execute,baseline,SGT-010,1,tool execution,inter-agent / orchestration failure,tool routing or argument-contract failure,results/judge_logs/8998340_exp2_cell_Y_pe_mcp_baseline/SGT-010_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=Check tool registrations and fix data retrieval issues for DGA and thermal sensor readings.,validate tool arguments/aliases before calls and hard-fail bad routing as explicit step errors,must-fix,confirmed,Plan put get_dga_record/analyze_dga on iot server (should be fmsr) → 'Unknown tool' errors; sensor calls fail; step 7 routes to server='none' (invalid). Tool routing/argument-contract symptom fits precisely.,akshat:2026-05-05
8998340_exp2_cell_Y_pe_mcp_baseline,Y,plan_execute,baseline,SGT-010,2,verification,task verification failure,missing-evidence final answer,results/judge_logs/8998340_exp2_cell_Y_pe_mcp_baseline/SGT-010_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to retrieve necessary data and made decisions based on incorrect or missing information. Improve data retrieval and handling of missing data.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Same trajectory shape as trial 1 but agent emits a final answer claiming 'high severity thermal anomaly fault' despite all evidence calls failing; missing-evidence final answer fits.,akshat:2026-05-05
8998340_exp2_cell_Y_pe_mcp_baseline,Y,plan_execute,baseline,SGT-010,3,verification,task verification failure,missing-evidence final answer,results/judge_logs/8998340_exp2_cell_Y_pe_mcp_baseline/SGT-010_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to retrieve necessary data and made decisions based on incomplete information. Improve data retrieval and handling of missing data.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Same as trial 2; missing-evidence final answer pattern.,akshat:2026-05-05
8998341_exp2_cell_Y_pe_self_ask_mcp_baseline,Y,plan_execute,baseline,SGT-009,1,tool execution,inter-agent / orchestration failure,tool routing or argument-contract failure,results/judge_logs/8998341_exp2_cell_Y_pe_self_ask_mcp_baseline/SGT-009_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=Review and correct tool usage and argument validation to prevent errors in data retrieval and processing.,validate tool arguments/aliases before calls and hard-fail bad routing as explicit step errors,must-fix,confirmed,"Multiple validation errors: list_assets (health_status='any' string), get_asset_metadata (args wrapped in dict), get_sensor_readings (limit non-int), forecast_rul (args wrapped). Tool routing/argument-contract symptom fits.",akshat:2026-05-05
8998341_exp2_cell_Y_pe_self_ask_mcp_baseline,Y,plan_execute,baseline,SGT-009,2,tool execution,inter-agent / orchestration failure,tool routing or argument-contract failure,results/judge_logs/8998341_exp2_cell_Y_pe_self_ask_mcp_baseline/SGT-009_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=Review and correct tool usage and argument validation; ensure proper data retrieval and processing; verify results against expected outputs.,validate tool arguments/aliases before calls and hard-fail bad routing as explicit step errors,must-fix,confirmed,Same validation-error pattern as trial 1; tool routing/argument-contract fits.,akshat:2026-05-05
8998341_exp2_cell_Y_pe_self_ask_mcp_baseline,Y,plan_execute,baseline,SGT-009,3,tool execution,inter-agent / orchestration failure,tool routing or argument-contract failure,results/judge_logs/8998341_exp2_cell_Y_pe_self_ask_mcp_baseline/SGT-009_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to complete the task due to errors in data retrieval and incorrect sequence execution. Review and correct the tool usage and input validation.,validate tool arguments/aliases before calls and hard-fail bad routing as explicit step errors,must-fix,confirmed,Same validation-error pattern; tool routing/argument-contract fits.,akshat:2026-05-05
8998342_exp2_cell_Z_verified_pe_mcp_baseline,Z,verified_pe,baseline,SGT-009,1,tool selection,inter-agent / orchestration failure,tool-call sequencing failure,results/judge_logs/8998342_exp2_cell_Z_verified_pe_mcp_baseline/SGT-009_judge_log.json,score_6d=0.5; failed_dims=data_retrieval_accuracy+agent_sequence_correct; judge_suggestion=Improve data retrieval accuracy and review agent sequence for potential optimization,add a stage-aware plan/execution guard requiring evidence acquisition before inference and work-order creation,must-fix,relabel_suggested,"Sequencing was actually correct (15 tool calls, evidence acquired in order); the real issue is the agent's final answer claims FM-002 Low-Temperature Overheating despite analyze_dga returning iec_code='N' (Normal/Inconclusive). Better symptom: missing-evidence final answer or under-constrained adjudication (agent's conclusion contradicts decisive DGA evidence).",akshat:2026-05-05
8998342_exp2_cell_Z_verified_pe_mcp_baseline,Z,verified_pe,baseline,SGT-010,2,tool selection,inter-agent / orchestration failure,tool-call sequencing failure,results/judge_logs/8998342_exp2_cell_Z_verified_pe_mcp_baseline/SGT-010_judge_log.json,score_6d=0.5; failed_dims=data_retrieval_accuracy+agent_sequence_correct; judge_suggestion=Improve data retrieval accuracy and review agent sequence for potential optimization,add a stage-aware plan/execution guard requiring evidence acquisition before inference and work-order creation,must-fix,evidence_thin,9 tool calls with one early list_sensors routing error (recovered); analyze_dga returned D2 Arc Discharge and final answer correctly cites it. Trajectory does not strongly demonstrate a sequencing failure — judge_pass_rate=0.5 with data_retrieval_accuracy flag is ambiguous.,akshat:2026-05-05
8998343_exp2_cell_Z_verified_pe_self_ask_mcp_baseline,Z,verified_pe,baseline,SGT-009,2,tool execution,inter-agent / orchestration failure,tool routing or argument-contract failure,results/judge_logs/8998343_exp2_cell_Z_verified_pe_self_ask_mcp_baseline/SGT-009_judge_log.json,score_6d=0.5; failed_dims=data_retrieval_accuracy+agent_sequence_correct; judge_suggestion=Improve data retrieval accuracy by handling validation errors and ensuring correct tool argument formatting.,validate tool arguments/aliases before calls and hard-fail bad routing as explicit step errors,must-fix,confirmed,Same validation-error pattern as Cell Y self-ask trials (list_assets/get_asset_metadata/forecast_rul); tool routing/argument-contract fits.,akshat:2026-05-05
9071639_aat_mcp_optimized,C,agent_as_tool,optimized,SGT-009,1,verification,task verification failure,missing-evidence final answer,results/judge_logs/9071639_aat_mcp_optimized/SGT-009_run01_judge_log.json,score_6d=0.1667; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct; judge_suggestion=The agent should have retrieved relevant sensor data before making inferences about the transformer's condition.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,WO created citing 'Spark Discharge' (FM-005) without sensor-evidence corroboration; missing-evidence pattern.,akshat:2026-05-05
9071639_aat_mcp_optimized,C,agent_as_tool,optimized,SGT-009,2,verification,task verification failure,missing-evidence final answer,results/judge_logs/9071639_aat_mcp_optimized/SGT-009_run02_judge_log.json,score_6d=0.1667; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct; judge_suggestion=The agent should first retrieve relevant sensor data before making inferences about fault modes and creating work orders.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,WO created citing FM-001 Partial Discharge without sensor evidence; missing-evidence pattern.,akshat:2026-05-05
9071639_aat_mcp_optimized,C,agent_as_tool,optimized,SGT-009,3,verification,task verification failure,missing-evidence final answer,results/judge_logs/9071639_aat_mcp_optimized/SGT-009_run03_judge_log.json,"score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent should have first retrieved relevant sensor data before inferring fault mode and creating a work order. The lack of retrieved sensor data indicates a failure in data retrieval accuracy, which cascades into other failures.",block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,WO created with arc-discharge claim despite no DGA call; missing-evidence pattern.,akshat:2026-05-05
9071639_aat_mcp_optimized,C,agent_as_tool,optimized,SGT-010,1,verification,task verification failure,missing-evidence final answer,results/judge_logs/9071639_aat_mcp_optimized/SGT-010_run01_judge_log.json,score_6d=0.1667; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct; judge_suggestion=The agent should have handled the missing sensor data more robustly and provided a more comprehensive maintenance or monitoring plan.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Agent acknowledges missing trend data but still recommends immediate outage; recommendation unsupported.,akshat:2026-05-05
9071639_aat_mcp_optimized,C,agent_as_tool,optimized,SGT-010,2,verification,task verification failure,missing-evidence final answer,results/judge_logs/9071639_aat_mcp_optimized/SGT-010_run02_judge_log.json,score_6d=0.1667; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct; judge_suggestion=Provide a more robust handling of missing data and consider alternative sensors or data sources for trend analysis.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Same pattern as trial 1; immediate outage recommendation despite acknowledged data gap.,akshat:2026-05-05
9071639_aat_mcp_optimized,C,agent_as_tool,optimized,SGT-010,3,verification,task verification failure,missing-evidence final answer,results/judge_logs/9071639_aat_mcp_optimized/SGT-010_run03_judge_log.json,score_6d=0.3333; failed_dims=data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct; judge_suggestion=Implement error handling for missing sensor data and consider alternative data sources.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Final answer correctly defers maintenance citing missing data — judge still scored 0.3333; the 'missing-evidence final answer' label fits because the original analyze_dga inputs were hardcoded gas values not from a real DGA record.,akshat:2026-05-05
9073472_aat_mcp_model_optimized,D,agent_as_tool,optimized,SGT-009,1,tool selection,inter-agent / orchestration failure,tool-call sequencing failure,results/judge_logs/9073472_aat_mcp_model_optimized/SGT-009_run01_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to follow the expected multi-step workflow and made incorrect tool calls. The agent should have first retrieved relevant IoT evidence before inferring the fault mode and estimating risk.,add a stage-aware plan/execution guard requiring evidence acquisition before inference and work-order creation,must-fix,confirmed,Skipped IoT evidence; went straight to correlation+forecast+WO. Sequencing-failure pattern fits.,akshat:2026-05-05
9073472_aat_mcp_model_optimized,D,agent_as_tool,optimized,SGT-009,2,tool selection,inter-agent / orchestration failure,tool-call sequencing failure,results/judge_logs/9073472_aat_mcp_model_optimized/SGT-009_run02_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to follow a logical sequence of steps and made multiple tool calls without clear justification or explanation. The agent should have first retrieved relevant IoT evidence before making other tool calls.,add a stage-aware plan/execution guard requiring evidence acquisition before inference and work-order creation,must-fix,confirmed,Created WO citing 'Overheating' (FM-012) but no list_sensors/get_sensor_readings preceded it; sequencing skipped.,akshat:2026-05-05
9073472_aat_mcp_model_optimized,D,agent_as_tool,optimized,SGT-009,3,tool selection,inter-agent / orchestration failure,tool-call sequencing failure,results/judge_logs/9073472_aat_mcp_model_optimized/SGT-009_run03_judge_log.json,"score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent should follow a logical sequence of steps: retrieve relevant IoT data, analyze it, infer fault mode, estimate risk, and then create a work order. Currently, the tool calls are unordered and lack clear justification.",add a stage-aware plan/execution guard requiring evidence acquisition before inference and work-order creation,must-fix,confirmed,Same skipped-IoT pattern as trials 1-2; sequencing-failure fits.,akshat:2026-05-05
9073472_aat_mcp_model_optimized,D,agent_as_tool,optimized,SGT-010,1,verification,task verification failure,missing-evidence final answer,results/judge_logs/9073472_aat_mcp_model_optimized/SGT-010_run01_judge_log.json,score_6d=0.3333; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+hallucinations; judge_suggestion=Collect winding temperature data for T-020 or use alternative sensors to enable trend analysis.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,evidence_thin,"Agent correctly acknowledges 'cannot determine trend... no readings available' and defers — judge still scored 0.3333 with hallucinations flag. Symptom 'missing-evidence final answer' weakly fits because the WO recommendation was deferred, not emitted; the failure pattern doesn't strongly match the candidate mitigation.",akshat:2026-05-05
9073472_aat_mcp_model_optimized,D,agent_as_tool,optimized,SGT-010,3,verification,task verification failure,missing-evidence final answer,results/judge_logs/9073472_aat_mcp_model_optimized/SGT-010_run03_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent should have handled the error from the trend analysis tool call and not provided a final answer based on incorrect assumptions.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Final answer claims 'trend analysis shows a significant increase in winding temperature' but trend_analysis returned no data; clear hallucinated finding — missing-evidence pattern fits.,akshat:2026-05-05
9074775_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized,ZSD,verified_pe,optimized,SGT-009,1,planning,specification failure,under-constrained fault/risk adjudication,results/judge_logs/9074775_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized/SGT-009_run01_judge_log.json,score_6d=0.3333; failed_dims=task_completion+generalized_result_verification+agent_sequence_correct; judge_suggestion=Improve task planning and execution by varying tool calls and arguments to gather diverse data.,add an explicit fault/risk adjudication step that cites the deciding tool evidence,should-fix,confirmed,Final answer hedges ('likely related to overheating') without citing decisive evidence; under-constrained adjudication symptom fits.,akshat:2026-05-05
9074775_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized,ZSD,verified_pe,optimized,SGT-009,2,tool execution,inter-agent / orchestration failure,tool routing or argument-contract failure,results/judge_logs/9074775_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized/SGT-009_run02_judge_log.json,score_6d=0.5; failed_dims=data_retrieval_accuracy+agent_sequence_correct; judge_suggestion=Improve data retrieval accuracy and correct agent sequence,validate tool arguments/aliases before calls and hard-fail bad routing as explicit step errors,must-fix,confirmed,Same Y/Z self-ask validation-error pattern (list_assets/get_asset_metadata); tool routing/argument-contract fits.,akshat:2026-05-05
9074775_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized,ZSD,verified_pe,optimized,SGT-009,3,tool execution,inter-agent / orchestration failure,tool routing or argument-contract failure,results/judge_logs/9074775_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized/SGT-009_run03_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=Replan and retry with corrected tool_args and proper dependency management,validate tool arguments/aliases before calls and hard-fail bad routing as explicit step errors,must-fix,confirmed,Same Y/Z self-ask validation-error pattern with score_6d=0.0; tool routing/argument-contract fits.,akshat:2026-05-05
