run_name	scenario_id	trial_index	audit_decision	berkeley_label	failure_stage	audit_note	audit_decision_source
final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_B70B_post175_70b_aat_mcp_baseline_watsonx	SGT-022	3	confirmed	inter_agent_orchestration	planning	Skipped get_sensor_readings (no actual sensor values retrieved); fleet-status claim has no per-sensor evidence behind it; redundant list_sensors call.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_C70B_post175_70b_aat_mcp_optimized_watsonx	SGT-010	3	confirmed	task_verification	final_answer	Same wrong-sensor pattern (winding_temp_c); agent acknowledges 'no readings' but final answer still proceeds to fault classification with high-priority outage WO.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_C70B_post175_70b_aat_mcp_optimized_watsonx	SGT-018	1	confirmed	task_verification	tool_execution	Same T-006 vs T-008 confusion as B70B run03; F006 fault_id corresponds to T-008 in the fixture but task asked about T-006; agent treats the mismatch as a non-issue.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_C70B_post175_70b_aat_mcp_optimized_watsonx	SGT-022	3	confirmed	inter_agent_orchestration	planning	Plan asked for healthy + degraded sample; agent only fully populated T-005; redundant list_sensors calls reflect plan-vs-execution mismatch.	akshat:2026-05-07
followon15x5_post175_a100_cu_20260505T0810Z_YS_TP_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_optimized	SGT-014	5	confirmed	task_verification	final_answer	Same low-temp + Arc Discharge contradiction as Y70B SGT-014 run02; PE-family rerun reproduces the same failure pattern across different cells.	akshat:2026-05-07
followon15x5_post175_a100_cu_20260505T0810Z_ZS_TP_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_optimized	SGT-003	3	confirmed	task_verification	final_answer	Final answer's two candidates are paraphrases of the same primary fault mode rather than two distinct mechanisms; not grounded in tool outputs.	akshat:2026-05-07
followon15x5_post175_a100_cu_20260505T0810Z_ZS_TP_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_optimized	SGT-003	4	confirmed	task_verification	verification	Identical Low-Temp Overheating answer as run03; verified-PE verification step doesn't catch that 'top two' aren't actually two distinct candidates.	akshat:2026-05-07
mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_YS_BASELINE_post175_15x5_mitigation_baseline_pe_self_ask	SGT-007	2	confirmed	task_verification	tool_execution	WO created with empty playbook fields ('Required skills: Not specified', no technician); arguments not validated against playbook minima before WO emission.	akshat:2026-05-07
mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_ZS_ADJ_post175_15x5_mitigation_adjudication_verified_pe_self_ask	SGT-025	3	confirmed	task_verification	verification	Anomaly check ran but no operating-range comparison against the expected winding-temp limit; the analysis is incomplete without that threshold lookup.	akshat:2026-05-07
topup15x2_70b_watsonx_post175_cpu_cu_a_yys_20260505T1010Z_Y70B_post175_70b_exp2_cell_Y_pe_mcp_baseline_watsonx	SGT-010	2	confirmed	task_verification	final_answer	Agent admits 'inability to retrieve thermal sensor readings' but still emits high-priority outage WO — missing-evidence final answer.	akshat:2026-05-07
topup15x2_70b_watsonx_post175_cpu_cu_a_yys_20260505T1010Z_YS70B_post175_70b_exp2_cell_YS_pe_self_ask_mcp_baseline_watsonx	SGT-010	1	confirmed	inter_agent_orchestration	verification	DGA says 'Arc discharge' + thermal trend says 'no anomalies' = contradictory signals; agent picks Arc as decisive without resolving the conflict between domains.	akshat:2026-05-07
topup15x2_70b_watsonx_post175_cpu_cu_a_yys_20260505T1010Z_YS70B_post175_70b_exp2_cell_YS_pe_self_ask_mcp_baseline_watsonx	SGT-014	1	confirmed	task_verification	final_answer	Same low-temp + Arc Discharge contradiction as Y70B run02 and YS_TP run05; failure mode pattern recurs across PE 70B variants.	akshat:2026-05-07
topup15x2_70b_watsonx_post175_cpu_cu_b_zzs_20260505T1010Z_Z70B_post175_70b_exp2_cell_Z_verified_pe_mcp_baseline_watsonx	SGT-022	1	confirmed	task_verification	planning	Fleet-status snapshot only covered T-011 representatively; healthy + degraded + critical breakdown is asserted without per-unit retrieval.	akshat:2026-05-07
topup15x2_70b_watsonx_post175_cpu_cu_b_zzs_20260505T1010Z_ZS70B_post175_70b_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline_watsonx	SGT-012	2	confirmed	task_verification	verification	Same self-contradiction as Y70B SGT-012 run01 ('not abnormally high' + 'three anomalous readings'); peak value 324.335 A reported but timestamp omitted, so verification is incomplete.	akshat:2026-05-07
topup15x2_70b_watsonx_post175_cpu_cu_b_zzs_20260505T1010Z_ZS70B_post175_70b_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline_watsonx	SGT-014	1	confirmed	task_verification	final_answer	Same low-temp + Arc Discharge (FM-006) contradiction; recurs across Y70B / YS_TP / YS70B / Z70B / ZS70B SGT-014 — pattern now spans 5 cells.	akshat:2026-05-07
topup15x2_70b_watsonx_post175_cpu_cu_b_zzs_20260505T1010Z_ZS70B_post175_70b_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline_watsonx	SGT-018	1	confirmed	task_verification	tool_execution	Agent admits 'task execution unsuccessful' but still emits WO-480541FA with 24h estimated downtime; fault retrieval and update_work_order both errored — agent reports each error but doesn't replan.	akshat:2026-05-07
